UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
110167,50325,104 16 59.25,21 21 20.36,-104.2831255,21.35565684,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,La Yesca,19
110187,50335,103 47 55.72,21 21 43.61,-103.7988121,21.36211289,Nayarit,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,La Yesca,19
110213,0,103 10 8.94,21 22 5.58,-103.1691506,21.36821646,Zacatecas,NORTE-NORESTE,INFyS_2015,true,false,true,true,false,false,false,false,,1,,Juchipila,23
110227,50355,102 49 48.27,21 22 13.54,-102.8300757,21.37042898,Zacatecas,NORTE-NORESTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Nochistlán de Mejía,34
110347,50415,99 55 25.62,21 21 30.96,-99.92378215,21.35860129,Guanajuato,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Xichú,45
110353,50418,99 46 42.55,21 21 23.62,-99.77848704,21.35656236,Querétaro,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Arroyo Seco,3
110367,50425,99 26 22.19,21 21 4.56,-99.43949708,21.35126756,Querétaro,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,true,false,false,false,,1,,Arroyo Seco,3
110373,0,99 17 39.19,21 20 55.57,-99.29421831,21.34876906,Querétaro,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,true,true,false,true,false,false,,1,,Jalpan de Serra,9
110387,50435,98 57 18.96,21 20 32.64,-98.95526799,21.34240035,San Luis Potosí,CENTRO NORTE - OCCIDENTE,INFyS_2015,true,false,false,false,false,false,false,false,,1,,Xilitla,54
110413,50448,98 19 33.17,21 19 42.91,-98.32588181,21.32858573,Veracruz de Ignacio de la Llave,CENTRO-SUR,INFyS_2015,true,false,true,false,true,false,false,false,,1,,Tantoyuca,155
