UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
64448,61821,19 14 16,-101 00 17,-101.004722,19.237778,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tiquicheo de Nicolás Romero,92
64458,61826,19 14 10,-100 45 59,-100.766389,19.236111,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Tiquicheo de Nicolás Romero,92
64468,0,19 14 02,-100 31 41,-100.528056,19.233889,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,true,false,false,,1,,Tuzantla,99
64518,61856,19 13 04,-99 20 10,-99.336111,19.217778,México,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Ocoyoacac,62
64608,61901,19 09 53,-97 11 31,-97.191944,19.164722,Veracruz de Ignacio de la Llave,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Calcahualco,29
64654,61924,18 52 04,-91 23 32,-91.392222,18.867778,Campeche,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Carmen,3
64656,61925,18 51 52,-91 20 41,-91.344722,18.864444,Campeche,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,,Carmen,3
64668,61931,18 50 38,-91 03 37,-91.060278,18.843889,Campeche,SURESTE,INFYS,true,false,true,true,true,true,false,false,,1,,Carmen,3
64670,61932,18 50 26,-91 00 46,-91.012778,18.840556,Campeche,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Carmen,3
64678,61936,18 49 36,-90 49 24,-90.823333,18.826667,Campeche,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Escárcega,9
64688,61941,18 48 32,-90 35 11,-90.586389,18.808889,Campeche,SURESTE,INFYS,true,false,true,true,true,true,false,false,,1,,Champotón,4
64698,61946,18 47 26,-90 20 58,-90.349444,18.790556,Campeche,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Escárcega,9
64708,0,18 46 19,-90 06 46,-90.112778,18.771944,Campeche,SURESTE,INFYS,true,false,true,true,false,true,false,false,,1,,Escárcega,9
64718,61956,18 45 11,-89 52 33,-89.875833,18.753056,Campeche,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Calakmul,10
64728,61961,18 44 02,-89 38 21,-89.639167,18.733889,Campeche,SURESTE,INFYS,true,false,true,true,false,true,false,false,,1,,Calakmul,10
64738,61966,18 42 51,-89 24 09,-89.4025,18.714167,Campeche,SURESTE,INFYS,true,false,false,false,false,true,false,false,,1,,Calakmul,10
64748,61971,18 41 39,-89 09 58,-89.166111,18.694167,Campeche,SURESTE,INFYS,true,false,true,true,true,true,false,false,,1,,Calakmul,10
64758,61976,18 40 25,-88 55 47,-88.929722,18.673611,Quintana Roo,SURESTE,INFYS,true,false,false,false,true,false,false,false,,1,,Othón P. Blanco,4
64768,61981,18 39 10,-88 41 36,-88.693333,18.652778,Quintana Roo,SURESTE,INFYS,true,false,true,true,false,false,false,false,,1,,Othón P. Blanco,4
64778,61986,18 37 54,-88 27 25,-88.456944,18.631667,Quintana Roo,SURESTE,INFYS,true,false,false,false,true,true,false,false,,1,,Othón P. Blanco,4
64788,0,18 35 34,-88 01 54,-88.031667,18.592778,Quintana Roo,SURESTE,IMyCA,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
64798,0,18 34 14,-87 47 44,-87.795556,18.570556,Quintana Roo,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Othón P. Blanco,4
64800,61997,18 33 58,-87 44 54,-87.748333,18.566111,Quintana Roo,SURESTE,IMyCA,true,false,true,false,true,true,true,false,,1,,Othón P. Blanco,4
65321,61492,19 15 49,-104 37 45,-104.629167,19.263611,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,true,false,false,false,,1,,Cihuatlán,22
65331,61497,19 16 03,-104 23 27,-104.390833,19.2675,Colima,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Manzanillo,7
65349,61506,19 16 25,-103 57 42,-103.961667,19.273611,Colima,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Coquimatlán,4
65351,61507,19 16 28,-103 54 50,-103.913889,19.274444,Colima,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Villa de Álvarez,10
65389,61526,19 16 59,-103 00 28,-103.007778,19.283056,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Jilotlán de los Dolores,49
65401,61532,19 17 05,-102 43 18,-102.721667,19.284722,Jalisco,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Jilotlán de los Dolores,49
65411,0,19 17 09,-102 28 59,-102.483056,19.285833,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,true,false,false,,1,,Buenavista,12
65429,61546,19 17 11,-102 03 14,-102.053889,19.286389,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Uruapan,102
65431,61547,19 17 11,-102 00 22,-102.006111,19.286389,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Uruapan,102
65441,61552,19 17 11,-101 46 03,-101.7675,19.286389,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Ario,9
65469,61566,19 17 02,-101 05 59,-101.099722,19.283889,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,true,true,false,false,false,false,,1,,Madero,49
65471,61567,19 17 01,-101 03 08,-101.052222,19.283611,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Madero,49
65481,61572,19 16 55,-100 48 49,-100.813611,19.281944,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,true,false,false,false,,1,,Tzitzio,101
65491,0,19 16 47,-100 34 31,-100.575278,19.279722,Michoacán de Ocampo,CENTRO - NORTE - OCCIDENTE,INFYS,true,false,false,false,false,false,false,false,,1,,Tuzantla,99
65509,61586,19 16 30,-100 08 45,-100.145833,19.275,México,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Valle de Bravo,110
65511,61587,19 16 28,-100 05 54,-100.098333,19.274444,México,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Donato Guerra,32
65521,61592,19 16 17,-99 51 35,-99.859722,19.271389,México,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Almoloya de Juárez,5
65549,61606,19 15 37,-99 11 32,-99.192222,19.260278,Distrito Federal,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Tlalpan,12
65571,61617,19 14 59,-98 40 04,-98.667778,19.249722,México,CENTRO - SUR,INFYS,true,false,false,false,true,false,false,false,,1,,Ixtapaluca,39
65589,61626,19 14 23,-98 14 20,-98.238889,19.239722,Tlaxcala,CENTRO - SUR,INFYS,true,false,true,false,false,false,false,false,,1,,Tepeyanco,29
65629,61646,19 12 46,-97 17 08,-97.285556,19.212778,Puebla,CENTRO - SUR,INFYS,true,false,true,true,false,false,false,false,,1,,Lafragua,93
65631,61647,19 12 41,-97 14 17,-97.238056,19.211389,Puebla,CENTRO - SUR,INFYS,true,false,false,false,false,false,false,false,,1,,Chilchotla,58
65669,61666,19 10 48,-96 19 58,-96.332778,19.18,Veracruz de Ignacio de la Llave,CENTRO - SUR,INFYS,true,false,true,false,false,false,false,false,,1,,Manlio Fabio Altamirano,100
65681,61672,18 54 22,-91 17 38,-91.293889,18.906111,Campeche,SURESTE,INFYS,true,false,false,false,false,false,false,false,,1,,Carmen,3
