UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
213963,0,26 43 30,-108 37 04,-108.6177778,26.725,Sonora,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Alamos,26003
213983,24427,26 44 43,-108 06 50,-108.1138889,26.7452778,Sinaloa,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,4,1,2,Choix,25007
213993,24432,26 45 17,-107 51 42,-107.8616667,26.7547222,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,false,1,1,2,Batopilas,8008
214003,0,26 45 49,-107 36 34,-107.6094444,26.7636111,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Batopilas,8008
214013,24442,26 46 20,-107 21 27,-107.3575,26.7722222,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,false,1,1,2,Guachochi,8027
214023,24447,26 46 50,-107 06 19,-107.1052778,26.7805556,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,4,1,2,Guachochi,8027
214033,24452,26 47 19,-106 51 11,-106.8530556,26.7886111,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Guachochi,8027
214063,24467,26 48 35,-106 05 46,-106.0961111,26.8097222,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,4,1,2,Balleza,8007
214073,0,26 48 57,-105 50 38,-105.8438889,26.8158333,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Santa Bárbara,8060
214826,24149,26 34 20,-112 20 44,-112.3455556,26.5722222,Baja California Sur,NOROESTE,INFYS,true,false,false,false,true,false,false,true,1,1,2,Comondú,3001
214838,24155,26 35 29,-112 02 38,-112.0438889,26.5913889,Baja California Sur,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Mulegé,3002
214867,0,26 43 48,-109 31 38,-109.5272222,26.73,Sonora,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Huatabampo,26033
214879,24175,26 44 39,-109 13 30,-109.225,26.7441667,Sonora,NOROESTE,INFYS,true,false,false,false,false,false,false,false,4,1,2,Navojoa,26042
214907,24189,26 46 28,-108 31 09,-108.5191667,26.7744444,Sinaloa,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Choix,25007
214921,24196,26 47 19,-108 09 59,-108.1663889,26.7886111,Sinaloa,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Choix,25007
214941,0,26 48 26,-107 39 43,-107.6619444,26.8072222,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Batopilas,8008
214947,24209,26 48 45,-107 30 38,-107.5105556,26.8125,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Guachochi,8027
214981,24226,26 50 23,-106 39 10,-106.6527778,26.8397222,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Balleza,8007
214987,24229,26 50 39,-106 30 05,-106.5013889,26.8441667,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Balleza,8007
214999,24235,26 51 08,-106 11 55,-106.1986111,26.8522222,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Balleza,8007
215021,24246,26 51 57,-105 38 36,-105.6433333,26.8658333,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Matamoros,8044
215027,0,26 52 10,-105 29 30,-105.4916667,26.8694444,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,true,1,1,2,Matamoros,8044
215067,24269,26 53 18,-104 28 54,-104.4816667,26.8883333,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Jiménez,8036
215079,0,26 53 33,-104 10 44,-104.1788889,26.8925,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,true,1,1,2,Jiménez,8036
215107,24289,26 54 02,-103 28 18,-103.4716667,26.9005556,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,4,1,2,Sierra Mojada,5034
215119,0,26 54 11,-103 10 06,-103.1683333,26.9030556,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Sierra Mojada,5034
215147,24309,26 54 24,-102 27 40,-102.4611111,26.9066667,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,true,4,1,2,Cuatro Ciénegas,5007
215187,0,26 54 23,-101 27 03,-101.4508333,26.9063889,Coahuila de Zaragoza,NORTE-NORESTE,INFYS,true,false,true,true,false,false,false,false,1,1,2,Monclova,5018
215227,24349,26 53 59,-100 26 25,-100.4402778,26.8997222,Nuevo Le¾n,NORTE-NORESTE,INFYS,true,false,true,true,false,false,false,false,1,1,2,Lampazos de Naranjo,19032
215239,24355,26 53 48,-100 08 14,-100.1372222,26.8966667,Nuevo Le¾n,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Lampazos de Naranjo,19032
215844,0,26 48 33,-108 46 25,-108.7736111,26.8091667,Sonora,NOROESTE,INFYS,true,false,true,true,false,false,false,false,6,1,2,Alamos,26003
215864,0,26 49 47,-108 16 10,-108.2694444,26.8297222,Sinaloa,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,6,1,2,Choix,25007
215874,23965,26 50 22,-108 01 02,-108.0172222,26.8394444,Chihuahua,NOROESTE,INFYS,true,false,true,true,false,false,false,false,1,1,2,Urique,8065
215884,0,26 50 56,-107 45 54,-107.765,26.8488889,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,6,1,2,Batopilas,8008
215894,23975,26 51 28,-107 30 45,-107.5125,26.8577778,Chihuahua,NOROESTE,INFYS,true,false,true,true,false,false,false,false,1,1,2,Guachochi,8027
215904,23980,26 51 59,-107 15 37,-107.2602778,26.8663889,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,6,1,2,Guachochi,8027
215914,23985,26 52 28,-107 00 28,-107.0077778,26.8744444,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,true,1,1,2,Guachochi,8027
215924,23990,26 52 55,-106 45 20,-106.7555556,26.8819444,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,6,1,2,Balleza,8007
215954,24005,26 54 10,-105 59 53,-105.9980556,26.9027778,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,true,1,1,2,Huejotitán,8033
216695,23666,26 37 20,-112 57 22,-112.9561111,26.6222222,Baja California Sur,NOROESTE,INFYS,true,false,true,false,false,false,false,true,4,1,2,Mulegé,3002
216715,23676,26 39 21,-112 27 12,-112.4533333,26.6558333,Baja California Sur,NOROESTE,INFYS,true,false,false,false,false,false,false,false,2,1,2,Mulegé,3002
216735,23686,26 41 17,-111 57 01,-111.9502778,26.6880556,Baja California Sur,NOROESTE,INFYS,true,false,true,true,false,false,false,false,4,1,2,Mulegé,3002
216774,23706,26 50 05,-109 13 48,-109.23,26.8347222,Sonora,NOROESTE,INFYS,true,false,false,false,false,false,false,false,2,1,2,Navojoa,26042
